team1_win,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support
0,136,68,27,72,125,106,154,126,30,158
1,108,41,67,18,55,75,154,2,80,15
1,40,68,50,80,9,95,63,164,72,85
0,108,63,153,111,87,2,154,45,80,9
1,66,92,109,80,113,35,97,149,54,133
0,45,27,137,53,87,49,154,58,72,79
1,66,96,43,111,125,93,68,0,53,4
1,150,96,43,138,9,66,154,126,52,163
0,45,96,21,54,104,119,41,2,25,133
0,95,60,33,53,47,156,96,24,25,133
1,37,70,10,72,116,119,96,11,53,98
0,0,89,1,51,153,40,96,156,72,16
1,149,68,127,30,12,66,96,2,162,113
0,149,39,33,152,101,19,96,88,18,73
1,32,154,109,72,79,66,159,127,30,85
0,86,31,109,152,87,135,96,127,30,144
1,0,96,164,54,144,78,154,155,161,104
0,78,41,67,30,9,0,96,2,141,144
1,119,81,21,80,133,156,116,88,72,79
0,49,38,94,30,87,139,154,130,51,83
0,141,103,2,72,113,42,96,130,152,87
1,77,56,33,138,113,96,46,130,80,55
0,40,147,130,80,119,32,154,162,30,19
0,106,70,115,141,12,4,27,45,80,77
0,78,70,150,121,73,120,68,24,80,94
1,32,70,137,138,19,66,77,156,30,12
0,59,15,156,138,14,66,27,2,80,12
1,108,27,24,152,123,59,112,1,80,47
1,0,39,162,80,47,40,56,45,72,123
0,139,116,96,20,87,119,39,130,162,101
1,66,39,11,152,47,75,68,94,53,9
1,75,68,126,153,85,66,154,33,80,4
1,156,40,92,54,158,106,62,2,80,153
0,32,27,156,72,55,49,129,45,80,74
0,44,17,137,80,87,40,39,45,30,12
0,11,60,34,30,101,66,68,149,80,113
0,61,96,22,134,73,50,70,67,80,158
0,149,39,137,80,55,108,60,58,30,74
1,119,129,156,80,55,93,103,130,18,74
1,0,24,50,80,85,45,39,127,53,87
0,50,68,43,152,101,119,28,99,54,88
0,3,28,119,25,87,142,96,24,72,101
0,0,154,3,53,85,150,96,20,51,165
0,0,68,126,72,79,109,96,106,53,87
0,75,60,127,53,96,0,154,153,30,85
0,66,154,149,18,9,151,96,40,111,87
0,0,154,67,72,79,106,96,24,111,87
0,42,70,164,72,104,117,96,34,53,19
1,122,154,45,111,87,136,91,11,8,16
0,75,41,45,43,19,106,154,2,161,101
1,0,46,33,142,79,49,154,125,141,9
0,110,28,99,54,14,50,154,149,72,104
0,106,154,127,30,47,108,77,67,152,28
0,108,89,160,51,47,77,68,162,141,114
1,66,154,145,8,74,108,39,67,72,96
0,149,27,92,152,96,108,89,137,111,87
0,96,39,126,51,124,108,89,74,111,5
1,32,89,67,162,124,0,28,24,51,113
1,115,91,130,30,55,108,89,11,72,79
0,108,39,34,72,28,23,89,24,111,105
1,50,62,67,25,133,0,91,148,53,14
0,135,68,34,53,96,106,154,58,72,158
1,50,68,149,18,74,35,154,20,53,87
1,0,39,58,30,9,77,68,130,53,14
0,0,81,164,72,85,156,62,149,53,14
1,66,39,164,30,14,142,89,36,152,101
0,135,24,50,18,42,156,5,100,53,14
1,66,48,27,53,14,23,41,160,51,83
1,50,129,149,25,133,67,68,110,141,105
1,0,129,67,72,4,119,116,137,152,14
0,50,39,88,54,105,66,129,10,53,4
0,108,39,45,80,12,66,27,67,152,131
0,44,38,155,141,101,67,39,115,152,131
0,100,41,11,53,16,127,96,2,72,79
0,0,78,67,52,55,156,39,76,152,101
0,156,107,43,141,47,95,92,33,152,101
1,32,107,67,152,101,49,17,148,22,153
0,32,68,34,80,131,108,70,71,152,9
0,56,39,75,30,28,35,70,134,53,14
1,23,70,130,53,113,108,28,3,30,158
1,142,70,153,53,104,108,27,1,30,69
0,115,24,130,53,101,36,49,137,138,128
0,86,27,156,53,87,66,49,126,51,101
1,49,147,43,53,12,139,91,126,72,85
0,0,103,71,111,69,139,154,126,30,47
1,66,70,156,72,16,35,126,50,111,123
1,149,70,45,25,73,136,129,54,125,133
0,45,70,67,161,47,0,154,76,125,133
1,50,154,125,142,87,108,70,130,54,105
0,0,91,7,30,55,66,49,67,25,101
1,2,70,67,111,87,155,41,24,53,73
1,140,154,24,54,73,0,49,162,53,9
1,0,49,58,54,131,67,147,20,53,104
1,109,49,83,80,77,35,68,127,52,16
0,156,107,145,125,16,155,129,160,80,87
0,66,68,127,72,133,49,118,67,141,9
1,40,154,155,111,77,82,120,149,72,4
1,120,154,127,141,73,82,150,67,72,98
1,49,68,126,72,79,149,24,155,142,47
1,109,60,58,161,73,50,154,67,72,47
1,108,68,43,56,19,50,39,164,138,113
0,66,68,67,161,101,93,28,3,142,154
0,45,39,137,30,38,108,28,3,138,101
0,0,29,137,18,113,109,63,2,111,96
1,49,63,164,51,73,0,154,94,25,79
1,66,68,127,152,113,156,81,1,111,101
1,66,70,130,72,79,109,63,58,25,88
1,49,159,1,53,113,38,39,58,72,85
0,0,68,2,142,158,109,91,67,30,9
1,81,70,45,141,87,23,68,27,30,73
1,136,70,99,51,87,50,154,126,141,101
1,0,154,149,25,16,108,41,1,72,79
0,149,68,2,51,165,109,154,156,80,16
0,66,147,67,52,113,78,103,43,3,79
1,20,68,155,25,47,23,70,43,9,55
1,66,68,92,138,113,82,154,115,53,104
0,59,68,1,25,79,61,154,137,54,9
0,0,107,126,9,12,140,38,3,72,79
0,66,154,67,30,4,40,109,50,141,158
1,61,154,58,54,73,49,68,34,80,87
0,35,68,127,141,165,149,154,126,8,101
1,120,70,67,142,12,49,96,110,129,9
0,142,70,67,54,131,141,39,27,72,14
1,109,70,160,111,104,0,24,66,90,88
1,106,27,58,111,14,0,109,156,53,87
1,66,109,58,30,9,156,40,24,141,101
1,49,109,130,138,105,0,154,94,72,101
0,66,91,145,138,73,67,63,149,111,104
0,154,68,15,53,124,149,39,33,9,114
0,154,27,153,141,133,26,39,10,25,165
0,2,41,27,114,113,108,154,34,72,73
1,66,70,130,114,113,151,154,2,161,73
1,151,129,40,152,101,108,103,24,25,133
1,49,103,137,15,85,0,27,126,90,133
1,66,92,10,54,133,136,154,1,30,74
1,49,91,43,111,14,0,68,10,8,4
0,93,68,164,30,15,155,91,1,72,74
0,155,38,45,51,55,139,154,34,30,28
0,108,154,0,72,79,93,109,45,141,133
0,156,39,2,8,47,139,26,162,141,104
0,120,70,3,142,79,1,68,2,141,9
0,119,28,130,54,66,50,154,88,30,55
1,115,103,127,72,79,135,154,88,138,101
0,49,27,50,30,144,86,154,88,161,101
1,40,103,67,72,79,139,38,155,50,9
0,115,56,148,141,113,35,154,67,72,85
0,66,13,58,161,5,93,140,88,138,126
1,86,62,67,18,74,21,154,127,162,69
0,32,159,100,9,87,140,154,88,72,79
0,96,24,33,72,47,21,97,43,25,101
0,66,103,126,138,87,23,129,2,152,101
0,106,109,110,141,128,40,68,137,8,87
0,23,68,155,72,79,106,154,58,53,87
0,40,56,58,30,69,106,91,143,142,47
1,161,39,34,51,87,106,77,6,30,83
1,49,154,82,72,79,0,41,34,111,104
0,49,27,155,138,87,151,103,126,25,133
0,108,68,43,152,104,23,154,34,51,87
0,151,107,11,129,124,156,154,126,141,98
1,0,70,130,80,47,40,15,45,54,4
1,40,39,58,161,87,49,38,130,141,105
0,49,78,126,53,105,109,154,34,51,113
0,49,68,148,9,73,50,154,153,141,113
0,49,116,74,72,16,23,70,3,30,55
1,66,70,57,18,74,36,68,33,72,113
1,61,38,67,18,113,32,13,137,72,85
0,136,29,164,72,85,49,81,1,142,73
0,140,24,34,18,85,32,63,27,141,16
0,23,48,6,52,73,156,63,24,134,113
0,99,24,149,52,73,50,62,1,18,113
1,106,154,148,152,55,142,126,160,53,69
1,2,60,58,30,158,44,13,148,72,85
0,50,68,3,52,158,132,29,99,138,79
1,49,60,99,111,4,2,63,130,138,158
0,0,24,130,155,55,95,154,145,161,12
1,32,41,119,72,113,19,68,99,53,101
1,106,129,61,65,113,23,60,155,30,158
0,110,159,160,9,73,139,60,58,53,47
1,135,41,160,8,113,50,63,24,51,153
0,38,99,50,53,73,108,63,137,138,114
0,156,13,134,65,79,49,63,20,142,73
0,32,78,71,121,47,86,63,58,30,83
0,40,27,58,141,85,38,146,153,142,47
0,156,39,99,162,113,155,63,38,52,79
1,49,107,2,51,163,96,68,33,18,79
0,0,17,27,142,124,155,29,99,80,98
1,19,92,33,143,113,115,63,58,111,133
1,32,63,155,142,79,109,97,86,152,101
0,19,91,43,152,124,49,29,155,138,14
1,149,29,72,111,69,82,63,99,53,12
0,35,130,137,51,158,135,147,1,72,85
0,109,63,108,111,87,49,97,99,162,47
1,32,63,57,18,15,74,24,99,52,47
0,38,15,160,152,4,74,29,99,51,47
0,108,15,72,30,129,136,56,155,134,47
0,50,147,58,52,124,132,63,45,25,47
0,45,39,114,72,79,160,60,20,53,133
0,45,60,57,43,124,0,63,33,142,47
0,95,63,149,52,47,59,129,99,53,113
1,49,39,1,8,73,0,116,153,25,47
1,59,92,134,141,79,36,147,149,8,47
0,0,13,58,30,165,135,88,67,134,47
0,150,147,99,72,144,0,107,2,134,47
0,128,78,1,30,47,150,70,144,72,79
0,135,39,153,53,87,37,29,99,142,47
1,0,97,137,155,4,156,63,129,111,47
0,2,13,160,141,131,135,63,137,142,47
0,156,24,164,138,101,49,63,6,80,47
0,32,27,2,51,144,23,63,58,25,98
0,156,13,67,114,98,0,63,34,18,47
0,106,39,119,142,73,35,24,88,134,47
0,66,56,45,51,47,32,29,160,142,87
0,97,147,129,18,113,32,63,58,141,47
0,142,107,148,72,47,136,103,153,9,79
1,135,29,94,152,101,64,41,88,138,73
1,119,63,94,161,79,82,131,155,149,113
0,117,147,33,8,69,149,62,130,30,55
0,19,27,57,30,12,149,13,127,18,113
1,149,104,134,51,47,45,60,94,18,74
1,66,107,164,141,124,0,39,149,152,101
0,111,92,149,25,47,109,15,50,54,4
0,0,70,155,51,138,45,139,149,53,101
1,42,63,33,51,101,97,160,149,111,4
0,2,147,45,51,69,155,130,149,65,133
0,108,165,4,53,30,149,139,21,8,47
0,99,109,163,155,101,96,104,149,141,9
1,32,92,149,52,55,49,154,43,18,101
0,95,60,155,53,101,19,139,149,121,124
0,37,41,10,121,12,66,107,149,30,47
0,99,154,114,141,87,149,49,7,72,85
1,149,62,74,9,123,119,60,100,80,138
0,42,68,149,72,79,23,78,143,162,9
0,2,63,149,72,16,0,92,11,141,79
0,49,29,99,54,123,149,78,164,20,101
1,106,29,130,54,101,155,156,149,1,144
0,35,135,2,149,113,136,118,164,53,101
0,156,63,67,53,133,136,91,149,30,123
1,50,15,94,72,79,106,27,110,18,74
0,64,48,126,30,114,19,62,149,74,123
0,115,126,45,74,114,44,107,149,53,87
0,23,60,109,111,47,135,147,149,141,104
1,156,60,57,149,85,106,24,164,111,119
0,136,56,160,52,123,86,63,45,149,85
1,0,68,11,141,98,149,147,126,111,69
1,149,81,145,142,4,19,41,6,54,133
0,95,112,20,54,87,32,92,71,111,101
0,149,103,67,8,158,99,147,71,30,123
0,0,116,149,18,51,99,24,72,141,9
0,136,38,67,152,4,100,129,149,142,79
1,108,46,145,144,87,50,63,57,8,79
1,149,107,11,155,47,0,63,20,138,73
0,50,147,20,9,125,75,63,153,54,87
1,32,63,20,72,85,49,68,155,161,125
1,95,154,149,56,101,108,68,110,54,87
1,119,27,149,51,113,109,13,58,25,133
0,64,27,74,149,85,59,68,43,141,113
0,37,159,33,25,123,64,60,134,149,85
0,119,154,58,25,73,20,68,49,72,85
0,156,89,68,138,123,106,39,25,149,85
0,115,60,153,161,85,49,92,149,138,101
0,120,116,58,9,141,149,68,7,51,98
1,0,40,99,30,9,149,68,50,25,85
1,32,102,129,141,16,149,24,58,111,87
0,156,78,160,141,87,106,62,149,30,114
1,61,63,20,54,104,0,91,149,127,98
0,0,104,126,72,79,149,68,67,18,87
0,110,160,109,30,101,49,60,149,51,9
0,139,154,43,72,79,96,107,149,114,105
1,37,107,149,161,105,132,154,3,59,55
0,106,89,6,8,113,0,60,149,72,79
0,136,159,10,113,133,149,107,145,142,47
0,2,27,149,51,101,110,107,130,72,79
0,32,13,74,72,85,132,107,149,25,79
0,150,68,2,141,85,132,107,149,72,98
0,135,63,94,161,79,66,107,149,138,133
1,26,27,57,72,79,136,60,149,162,85
0,45,78,99,152,101,149,107,50,53,77
0,97,147,7,25,12,149,78,130,162,124
0,2,24,22,152,12,108,107,99,149,123
1,40,97,72,152,79,120,107,130,30,12
1,109,60,149,72,79,156,112,2,141,101
0,97,116,94,111,47,36,107,149,72,85
0,39,78,149,25,87,23,56,160,72,79
0,49,40,129,8,4,61,63,155,53,133
1,49,63,2,9,16,32,15,134,72,158
1,37,107,7,72,104,0,13,33,134,158
0,2,68,19,162,138,0,39,137,134,101
1,49,68,129,161,73,32,63,143,121,79
0,0,107,67,141,124,49,39,109,161,123
1,59,107,143,3,85,150,39,127,30,14
0,0,60,110,142,113,156,39,58,53,104
1,32,154,71,141,9,49,63,33,161,55
0,45,39,126,53,104,37,63,11,18,47
0,49,68,127,53,159,150,63,94,72,158
1,45,39,94,53,133,156,68,11,152,124
1,59,41,11,72,126,45,68,110,8,79
0,37,13,155,72,14,49,68,11,134,79
0,0,130,58,53,98,156,39,109,161,5
0,109,135,164,152,88,108,154,43,161,101
1,49,15,156,161,9,109,63,88,155,113
0,66,68,126,54,98,32,39,137,141,14
0,95,48,58,53,73,32,63,126,52,133
0,32,63,153,30,138,108,39,94,25,73
0,49,63,2,8,124,38,39,155,52,79
0,106,60,126,30,55,45,39,11,134,74
0,49,129,134,90,158,109,39,94,72,104
1,2,68,164,53,9,66,39,67,51,158
1,96,31,50,72,85,2,68,75,51,87
0,50,39,34,162,133,2,68,87,152,89
0,67,81,137,53,83,0,68,94,72,158
1,2,68,153,53,104,37,62,1,30,55
0,66,39,129,52,114,49,13,67,51,9
0,86,89,67,52,73,106,39,2,53,15
1,106,39,137,72,9,75,147,126,111,114
0,142,116,40,152,87,49,39,137,30,16
0,0,63,2,152,153,108,39,71,8,116
1,49,15,134,138,104,108,63,76,53,113
1,49,68,67,3,133,2,62,43,53,14
0,37,63,148,30,153,61,39,94,161,104
0,106,154,24,54,105,61,135,148,53,124
0,50,89,145,53,104,2,147,67,72,85
0,37,38,117,53,14,40,63,137,72,85
0,23,38,137,53,16,106,63,43,72,85
0,40,159,58,54,73,32,147,1,161,133
1,49,147,129,161,73,75,63,38,51,5
0,40,159,134,90,14,2,63,139,72,98
0,93,77,153,65,73,139,147,145,72,79
1,2,62,94,72,79,106,68,153,53,123
1,0,63,33,72,87,93,129,2,18,79
1,95,63,1,72,158,156,68,11,18,113
1,106,129,20,8,55,2,62,160,30,4
0,66,24,45,30,158,49,63,129,53,104
0,19,13,94,53,104,0,39,1,8,73
0,106,27,1,53,123,156,63,126,152,124
0,2,63,155,161,101,106,129,134,53,38
0,156,15,64,111,104,49,39,56,8,4
0,67,147,33,138,20,139,63,164,152,124
0,3,68,99,134,124,100,39,109,8,14
1,2,63,129,8,73,66,41,126,72,158
0,2,89,160,152,14,96,63,129,53,104
